ID	Category	Language	Genre	Genre2	Pubdate	Author_Last	Author_First	Work_Title	Translation	PubHouse	Prize	WinnerShortlist	Author_Gender	Author_Nationality
2007_Hempel,Amy_TheCollectedStoriesofAmyHempel_PW.txt	FIC	English	PW		2007	Hempel	Amy	TheCollectedStoriesofAmyHempel		Scribner	PEN/FaulknerAwardforFiction	Shortlist	F	US
2007_Millner,Caille_GoldenRoad_NF.txt	NON	English	MIX		2007	Millner	Caille	GoldenRoad					F	
2007_Montross,Christine_BodyofWork_NF.txt	NON	English	MIX		2007	Montross	Christine	BodyofWork					F	
2007_ONeill,Heather_LullabiesforLittle_PW.txt	FIC	English	PW		2007	ONeill	Heather	LullabiesforLittle		HarperCollins	GovernorGeneralLiteraryAwardforfiction	Shortlist	F	Canada
2007_Stewart,Amy_FlowerConfidential_NF.txt	NON	English	MIX		2007	Stewart	Amy	FlowerConfidential					F	
2007_Thomas,Dana_Deluxe-HowLuxuryLost_NF.txt	NON	English	MIX		2007	Thomas	Dana	DeluxeHowLuxuryLost					F	
2007_Ulrich,LaurelThatcher_WellbehavedWomenSeldom_NF.txt	NON	English	MIX		2007	Ulrich	LaurelThatcher	WellbehavedWomenSeldom					F	
2007_York,Alissa_Effigy_PW.txt	FIC	English	PW		2007	York	Alissa	Effigy		RandomHouse	ScotiabankGillerPrize	Shortlist	F	Canada
2008_Christensen,Kate_GreatMan_PW.txt	FIC	English	PW		2008	Christensen	Kate	GreatMan		Doubleday	PEN/FaulknerAwardforFiction	Winner	F	US
2008_Cornwell,Patricia_Scarpetta_BS.txt	FIC	English	BS		2008	Patricia	Cornwell	Scarpetta					F	US
2008_Dillard,Annie_TheMaytrees_PW.txt	FIC	English	PW		2008	Dillard	Annie	TheMaytrees		Harper	PEN/FaulknerAwardforFiction	Shortlist	F	US
2008_Endicott,Marina_GoodtoaFault_PW.txt	FIC	English	PW		2008	Endicott	Marina	GoodtoaFault		FreehandBooks	ScotiabankGillerPrize	Shortlist	F	Canada
2008_Grant,Linda_ClothesOn_PW.txt	FIC	English	PW		2008	Grant	Linda	ClothesOn		Virago	TheManBookerPrize	Shortlist	F	UK
2008_Hannah,Kristin_FireflyLane_BS.txt	FIC	English	BS		2008	Kristin	Hannah	FireflyLane					F	US
2008_Hilderbrand,Elin_Barefoot_BS.txt	FIC	English	BS		2008	Elin	Hilderbrand	Barefoot					F	US
2008_Kushner,Rachel_TelexfromCuba_PW.txt	FIC	English	PW		2008	Kushner	Rachel	TelexfromCuba		Scribner	TheNationalBookAwards	Shortlist	F	US
2008_Meyer,Stephanie_TheHost_BS.txt	FIC	English	BS		2008	Stephanie	Meyer	TheHost					F	US
2008_Paul,Pamela_ParentingInc_NF.txt	NON	English	MIX		2008	Paul	Pamela	ParentingInc					F	
2008_Reed,Julia_HouseonFirstStreet_NF.txt	NON	English	MIX		2008	Reed	Julia	HouseonFirstStreet					F	
2008_Shaffer,MaryAnn_TheGuernseyLiteraryandPotatoPeelPie_BS.txt	FIC	English	BS		2008	MaryAnn	Shaffer	TheGuernseyLiteraryandPotatoPeelPie					F	US
2008_Sittenfeld,Curtis_AmericanWife_BS.txt	FIC	English	BS		2008	Curtis	Sittenfeld	AmericanWife					F	US
2008_Strout,Elizabeth_OliveKItteridge_BS.txt	FIC	English	BS		2008	Elizabeth	Strout	OliveKItteridge					F	US
2008_Swan,Mary_BoysintheTrees_PW.txt	FIC	English	PW		2008	Swan	Mary	BoysintheTrees		HenryHolt	ScotiabankGillerPrize	Shortlist	F	Canada
2009_Blake,Sarah_Postmistress_BS.txt	FIC	English	BS		2009	Sarah	Blake	Postmistress					F	US
2009_Byatt,AS_TheChildrensBook_PW.txt	FIC	English	PW		2009	Byatt	AS	TheChildrensBook		Chatto&Windus	TheManBookerPrize	Shortlist	F	UK
2009_Bynum,SarahShun-lien_MsHempel_PW.txt	FIC	English	PW		2009	Bynum	SarahShun-lien	MsHempel		Harcourt	PEN/FaulknerAwardforFiction	Shortlist	F	US
2009_Campbell,BonnieJo_AmericanSalvage_PW.txt	FIC	English	PW		2009	Campbell	BonnieJo	AmericanSalvage		WayneStateUniversity	TheNationalBookAwards	Shortlist	F	US
2009_Choi,Susan_APersonofInterest_PW.txt	FIC	English	PW		2009	Choi	Susan	APersonofInterest		Penguin	PEN/FaulknerAwardforFiction	Shortlist	F	US
2009_Choldenko,Gennifer_AlCaponeShinesMyShoes_MG.txt	FIC	English	MID		2009	Choldenko	Gennifer	AlCaponeShinesMyShoes					F	
2009_DiCamillo,Kate_TheMagiciansElephant_MG.txt	FIC	English	MID		2009	DiCamillo	Kate	TheMagiciansElephant					F	
2009_Echlin,Kim_Disappeared_PW.txt	FIC	English	PW		2009	Echlin	Kim	Disappeared		HamishHamilton	ScotiabankGillerPrize	Shortlist	F	Canada
2009_Flynn,Gillian_DarkPlaces_MY.txt	FIC	English	MY		2009	Flynn	Gillian	DarkPlaces					F	US
2009_Griffiths,Elly_TheCrossingPlaces_MY.txt	FIC	English	MY		2009	Griffiths	Elly	TheCrossingPlaces					F	UK
2009_Kelly,Jacqueline_TheEvolutionofCalpurniaTate_MG.txt	FIC	English	MID		2009	Kelly	Jacqueline	TheEvolutionofCalpurniaTate					F	
2009_LaFleur,Suzanne_Love,Aubrey_MGtxt.txt	FIC	English	MID		2009	LaFleur	Suzanna	LoveAubrey					F	
2009_Lin,Grace_WheretheMountainMeetstheMoon_MG.txt	FIC	English	MID		2009	Lin	Grace	WheretheMountainMeetstheMoon					F	
2009_Lyon,Annabel_TheGoldenMean_PW.txt	FIC	English	PW		2009	Lyon	Annabel	TheGoldenMean		RandomHouse	GovernorGeneralLiteraryAwardforfiction	Shortlist	F	Canada
2009_Mantel,Hilary_WolfHall_PW.txt	FIC	English	PW		2009	Mantel	Hilary	WolfHall		FourthEstate	TheManBookerPrize	Winner	F	UK
2009_Michaels,Anne_TheWinterVault_PW.txt	FIC	English	PW		2009	Michaels	Anne	TheWinterVault		McClelland&Stewart	ScotiabankGillerPrize	Shortlist	F	Canada
2009_Munro,Alice_TooMuchHappiness_PW.txt	FIC	English	PW		2009	Munro	Alice	TooMuchHappiness		McClelland&Stewart	GovernorGeneralLiteraryAwardforfiction	Shortlist	F	Canada
